Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
news;107409;;"Fraunhofer cooperates with Portugal";107409-fraunhofer-cooperates-with-portugal;"Major research collaboration agreement signed today by officials of the Fraunhofer-Gesellschaft and the Portuguese government.";;;;;;en;en;"2007-04-25 18:30:43";https://cordis.europa.eu/article/id/107409-fraunhofer-cooperates-with-portugal
brief;429473;;"Examiner les répercussions des données de santé au microscope";429473-putting-the-impact-of-health-data-under-the-microscope;"Comment le travail des systèmes nationaux d’informations de santé influence-t-il l’élaboration de politiques? Au beau milieu d’une pandémie provoquée par la COVID-19 qui a mis en lumière la relation entre la science et la politique, le projet BAHCI présente un cadre de référence pouvant apporter des réponses.";Santé;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;fr;de,en,es,fr,it,pl;"2021-03-29 18:02:45";https://cordis.europa.eu/article/id/429473-putting-the-impact-of-health-data-under-the-microscope/fr
brief;188520;;"High tech help for elderly to prevent falls";188520-high-tech-help-for-elderly-to-prevent-falls;"New high tech solutions to detect falls and prevent injuries will enable health providers to more efficiently and cost effectively monitor patients, and equip potential fallers with the most appropriate devices.";"Digital Economy";CIP;;;;en;de,en,es,fr,it,pl;"2016-09-09 13:20:33";https://cordis.europa.eu/article/id/188520-high-tech-help-for-elderly-to-prevent-falls
brief;90750;;"Emerging modern identities in Eastern Europe";90750-emerging-modern-identities-in-eastern-europe;"European researchers investigated how regional, national and European identities are formed through individual and group narratives and practices. The EU-funded project considered a broad range of influences by drawing on actual practices.";Health;FP7-SSH;;;;en;de,en,es,fr,it,pl;"2013-03-22 14:00:55";https://cordis.europa.eu/article/id/90750-emerging-modern-identities-in-eastern-europe
project;199563;SenseCare;"Sensor Enabled Affective Computing for Enhancing Medical Care";690862;"This project brings together a diverse group of subject matter experts from industry and academia under one umbrella, with the main aim of enhancing and advancing future healthcare processes and systems using sensory and machine learning technologies to provide emotional...";;H2020-EU.1.3.,H2020-EU.1.3.3.;"/natural sciences/computer and information sciences/software/software applications/system software/operating systems;/natural sciences/computer and information sciences/data science/big data;/social sciences/psychology;/medical and health sciences/basic medicine/neurology/dementia;/natural sciences/computer and information sciences/artificial intelligence/machine learning";2016-01-01;2019-12-31;en;en;"2022-08-15 23:30:30";https://cordis.europa.eu/project/id/690862
programme;703115;;"Supporting investment in smart living environments for ageing well through certification";H2020_SC1-HCC-01-2018;"The action will consolidate knowledge from related projects and initiatives to identify the most appropriate scheme for harmonisation, certification, approval labelling or other forms or reliable identification of adequate smart living environments for ageing well, including...";;;;;;en;en;"2018-10-31 20:25:55";https://cordis.europa.eu/programme/id/H2020_SC1-HCC-01-2018
brief;148928;;"Rolling out flexible chemical sensors";148928-rolling-out-flexible-chemical-sensors;"Nanostructured sensor arrays enable detection of many molecules or parts of molecules in a given sample with a single test platform. EU-funded scientists developed technologies for cost-effective mass production to speed commercialisation.";"Climate Change and Environment";FP7-NMP;;;;en;de,en,es,fr,it,pl;"2014-10-17 17:43:08";https://cordis.europa.eu/article/id/148928-rolling-out-flexible-chemical-sensors
pubsum;458476;;"Periodic Reporting for period 2 - PRO-RES (PROmoting integrity in the use of RESearch results)";788352_PS;"PRO-RES is a European Commission-funded project that aims at: Promoting integrity in the use of research results in evidence based policy: a focus on non-medical researchMAIN GOAL: To use research effectively policy makers need to trust in the validity and reliability of...";;H2020-EU.5.g.,H2020-EU.5.f.;;;;en;en;"2022-11-11 20:42:51";https://cordis.europa.eu/project/id/788352/reporting
pubsum;177830;;"Final Report Summary - FANSREF (Football fandom, reflexivity and social change)";331097_PS;"The fellowship provided a theoretically framed analysis of the dynamics between football supporters and football and political authorities. The main objective was to critically examine football fan activism and its impact on the culture of fans and football culture more...";;FP7-PEOPLE;;;;en;en;"2016-02-25 13:08:22";https://cordis.europa.eu/project/id/331097/reporting
programme;701853;;"The Ethics of technologies with high socio-economic impact and Human Rights relevance";H2020_SwafS-18-2016;"While the work shall integrate the broad ethical perspectives of the emerging technologies, especially those with potentially high social and economic impact, the focus shall be on (a) genomics, in particular genetic testing and screening, genetic patents, genetic databanks...";;;;;;en;en;"2017-05-11 12:28:18";https://cordis.europa.eu/programme/id/H2020_SwafS-18-2016
