Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
mag;400789;;"Where science meets security";400789-where-science-meets-security;;;;;;;en;de,en,es,fr,it,pl;"2015-07-01 00:00:01";https://cordis.europa.eu/article/id/400789-where-science-meets-security
pubsum;181728;;"Final Report Summary - PACT (PUBLIC PERCEPTION OF SECURITY AND PRIVACY: ASSESSING KNOWLEDGE, COLLECTING EVIDENCE, TRANSLATING RESEARCH INTO ACTION)";285635_PS;"Privacy and data protection are fundamental rights that play a crucial role in contemporary democratic societies. Thus the use of surveillance technology walks a fine line regarding public trust and concerns for privacy, on the one hand, and perceptions of...";;FP7-SECURITY;;;;en;en;"2016-03-31 16:51:02";https://cordis.europa.eu/project/id/285635/reporting
mag;400795;;"New horizons for the textile value chain";400795-new-horizons-for-the-textile-value-chain;;;;;;;en;de,en,es,fr,it,pl;"2015-12-01 00:00:01";https://cordis.europa.eu/article/id/400795-new-horizons-for-the-textile-value-chain
pubsum;173280;;"Final Report Summary - GRINCOH (Growth-Innovation-Competitiveness: Fostering Cohesion in Central and Eastern Europe)";290657_PS;"The countries of Central and Eastern European (CEECs) have become members of the European Union after a difficult process of post-socialist transformation. It is still debated if this transformation has been completed. The success of this unprecedented...";;FP7-SSH;;;;en;en;"2015-12-02 10:03:33";https://cordis.europa.eu/project/id/290657/reporting
pubsum;186562;;"Periodic Reporting for period 3 - iKaaS (intelligent Knowledge-as-a-Service Platform)";643262_PS;"iKaaS set out to pave the way towards trouble free multi-cloud service provisioning, envisioning a scenario where users are not just consumers of services and resources but can also play the role of a provider of -in many case otherwise underutilized- resources.To make this...";;H2020-EU.2.1.1.;;;;en;en;"2022-01-11 21:07:33";https://cordis.europa.eu/project/id/643262/reporting
project;209338;FOUNDATION;"Fusarium oxysporum mediated underpinning of cell type-specific modulation in multiple host interaction";750669;"Fungi have a devastating impact on human nutrition and health. Each year, fungal pathogens provoke enormous agricultural losses in crop plants and contaminating food with harmful mycotoxins. The soil-borne fungal pathogen Fusarium oxysporum infects plant root and vascular...";;H2020-EU.1.3.,H2020-EU.1.3.2.;"/natural sciences/biological sciences/microbiology/mycology;/medical and health sciences/health sciences/nutrition;/agricultural sciences/agriculture, forestry, and fisheries/agriculture;/natural sciences/biological sciences/biochemistry/biomolecules/proteins/enzymes;/natural sciences/physical sciences/optics/laser physics";2018-07-01;2020-06-30;en;en;"2022-08-17 10:31:25";https://cordis.europa.eu/project/id/750669
project;209840;MET-PEST;"Multi-approach determination of metal based pesticides in food";753053;"The industrial and agricultural activities of the modern society lead to significant release of a large number of toxic substances into the environment having an ultimate impact on the food quality and human health. Many of such chemicals are used in agriculture as pesticides...";;H2020-EU.1.3.,H2020-EU.1.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/fruit growing;/natural sciences/biological sciences/microbiology/mycology;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/vegetable growing;/natural sciences/chemical sciences/organic chemistry/aliphatic compounds;/natural sciences/chemical sciences/analytical chemistry/mass spectrometry";2017-10-01;2019-09-30;en;en;"2022-08-15 15:20:16";https://cordis.europa.eu/project/id/753053
project;208691;BIOFERTICELLULASER;"Role of bacterial cellulases in the transition from free living to root endophytes in rapeseed crops and in the design of efficient biofertilizers";750795;"One of the main challenges for humanity during next decades will be to increase food production while using scarce resources and protecting the environment, being therefore one of the priorities of the European Program “Horizon 2020”. Plant’s productivity can be enhanced...";;H2020-EU.1.3.,H2020-EU.1.3.2.;"/natural sciences/biological sciences/microbiology/bacteriology;/social sciences/economics and business/economics/production economics/productivity;/agricultural sciences/agriculture, forestry, and fisheries/agriculture;/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic changes;/natural sciences/biological sciences/biochemistry/biomolecules/proteins/enzymes";2017-06-01;2019-05-31;en;en;"2022-08-16 23:53:08";https://cordis.europa.eu/project/id/750795
project;196814;CENTAUR;"Cost Effective Neural Technique for Alleviation of Urban Flood Risk";641931;"The project will develop a radically new market ready approach to RTC of sewer networks with the aim of reducing local flood risk in urban areas. Existing RTC pilot projects (e.g. Vienna, Dresden, Aarhus) are characterised by complex sensor networks, linked to centralised...";;H2020-EU.3.5.,H2020-EU.3.5.4.;"/engineering and technology/civil engineering/water engineering/urban drainage";2015-09-01;2018-08-31;en;en;"2022-08-18 08:56:21";https://cordis.europa.eu/project/id/641931
project;219077;ChemPrime;"A new crop protection strategy by chemical priming of the plant immune system";824985;"A large proportion of global crop yield is annually lost to plant diseases. While pesticides help to reduce these losses, there are growing concerns about pesticide resistance and their impacts on health and environment. The objective of this proof-of-concept project is to...";;H2020-EU.1.1.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";2019-05-01;2020-10-31;en;en;"2022-08-18 12:50:09";https://cordis.europa.eu/project/id/824985
