Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
programme;706044;;"Integrated urban food system policies – how cities and towns can transform food systems for co-benefits";HORIZON_HORIZON-CL6-2021-COMMUNITIES-01-05;"Urban areas face a serious challenge to ensure healthy, affordable, safe and sustainably produced food to their residents. Many cities and their inhabitants are disconnected from their food – e.g. where it comes from, how it is produced, the impact food production and...";;;;;;en;en;"2022-06-20 10:30:38";https://cordis.europa.eu/programme/id/HORIZON_HORIZON-CL6-2021-COMMUNITIES-01-05
pubsum;833954;;"Periodic Reporting for period 1 - TUASPA (How does Time Use and availability affect the associations between Activity Space, the environment and Physical Activity among European Adults?)";845570_PS;"The World Health Organization recognizes the need to promote physical activity (PA) throughout everyday life, and recently the Council Recommendation on health-enhancing physical activity (HEPA) invited the European Commission to provide targeted support to get Europeans to...";;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;en;"2022-05-16 15:42:00";https://cordis.europa.eu/project/id/845570/reporting
pubsum;648829;;"Periodic Reporting for period 1 - EULAC-PerMed (Widening EU-CELAC policy and research cooperation in Personalised Medicine)";825173_PS;"The EULAC-PerMed  project was launched in January 2019, with the ambition to engage Latin America and the Caribbean (LAC) countries in the International Consortium on Personalized Medicine (ICPerMed) as a means to widen the international scope of Personalized Medicine Research...";;H2020-EU.3.1.,H2020-EU.3.1.6.;;;;en;en;"2020-12-15 08:54:07";https://cordis.europa.eu/project/id/825173/reporting
pubsum;248067;;"Final Report Summary - NANOATHERO (Nanomedicine for target-specific imaging and treatment of atherosclerosis: development and initial clinical feasibility)";309820_PS;"Diseases of the arterial wall leading to acute arterial thrombosis and cardiovascular events are responsible for the majority of deaths in developed countries. Integrating an efficient transport mechanism using nanosystems, a stealth coating, a targeting and an active molecule...";;FP7-NMP;;;;en;en;"2019-02-06 16:42:51";https://cordis.europa.eu/project/id/309820/reporting
pubsum;159550;;"Final Report Summary - UPSOIL (Sustainable Soil Upgrading by Developing Cost-effective, Biogeochemical Remediation Approaches)";226956_PS;"Executive Summary:Due to its long industrial past, the EU has an unfortunate legacy of contaminants in its soils and waters. Accordingly, dealing with soil and groundwater contamination is becoming an integral part of plans for the redevelopment of industrial locations or...";;FP7-ENVIRONMENT;;;;en;en;"2015-04-01 16:31:04";https://cordis.europa.eu/project/id/226956/reporting
project;74089;"TP PLANTS AND HEALTH";"The European technology platform on plant genomics and biotechnology: plants for healthy lifestyles and for sustainable development";512149;"There has been a sharp decline in plant biotechnology activities in Europe over the past 8 years: most Europeans favour medical applications of biotechnology, many remain sceptical of agricultural and food-related biotech, the academic sector and plant bi otechnology industry ...";;FP6-LIFESCIHEALTH;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture;/social sciences/economics and business/economics/production economics/productivity;/natural sciences/biological sciences/botany";2004-06-01;2007-07-31;en;en;"2010-01-04 00:00:00";https://cordis.europa.eu/project/id/512149
mag;430213;;"Ready Player... You? Welcome to the Virtual Reality revolution";430213-virtual-reality-revolution;"The potential of Virtual Reality (VR) symbolises many of the most positive perceptions of the future. The idea of fully immersive, realistic digital environments that can allow you to get completely lost in another world or a gripping narrative (or both) is incredibly enticing. In popular culture, probably the most famous example is the ‘Star Trek’ holodeck. Whilst a couple of episodes did explore the potential negative impacts of such technology (the notion of ‘holo addiction’), the holodeck was seen overall as a positive technological development, in line with that classic show’s generally utopian view of the future. Of course, there are some cultural works that have expressed a more cautious tone to VR or even a dire dystopian warning alarm, again the most famous example probably being 1999’s seminal film ‘The Matrix’. But VR technology doesn’t seem to cause as much unease amongst the general population in terms of possible negative impacts on human society as other emerging technologies do, such as Artificial Intelligence (AI) or widespread robotic automation.";;;;;;en;de,en,es,fr,it,pl;"2021-06-09 14:00:17";https://cordis.europa.eu/article/id/430213-virtual-reality-revolution
pubsum;244390;;"Final Report Summary - EDICT (EUROPEAN DRUG INITIATIVE ON CHANNELS AND TRANSPORTERS)";201924_PS;"Summary The European Drug Initiative on Channels and Transporters, EDICT, allies for the first time, partners with world-class expertise in both the structural and functional characterisation of membrane channels and transporters. State-of-the-art facilities and personnel for...";;FP7-HEALTH;;;;en;en;"2018-12-14 15:58:30";https://cordis.europa.eu/project/id/201924/reporting
pubsum;202426;;"Final Report Summary - GARCIA (Gendering the Academy and Research: combating Career Instability and Asymmetries)";611737_PS;"The report “Structural change in research institutions: Enhancing excellence, gender equality and efficiency in research and innovation”, published in 2012 by the European Commission, identified five main problems faced by research institutions in terms of gender...";;FP7-SIS;;;;en;en;"2017-08-16 18:03:06";https://cordis.europa.eu/project/id/611737/reporting
pubsum;177845;;"Final Report Summary - BIOCLEAN (New BIOtechnologiCaL approaches for biodegrading and promoting the environmEntal biotrAnsformation of syNthetic polymeric materials)";312100_PS;"Executive Summary:About 31% of oil-deriving plastic waste is currently disposed in landfills in Europe, where it undergoes (photo)degradation with the production of small fragments & leachates, which enter the marine environment, where they can exert toxic effects. BIOCLEAN...";;FP7-KBBE;;;;en;en;"2016-02-25 12:47:38";https://cordis.europa.eu/project/id/312100/reporting
pubsum;189197;;"Final Report Summary - SYRTO (SYstemic Risk TOmography: Signals, Measurements, Transmission Channels, and Policy Interventions)";320270_PS;"SYRTO stands for SYstemic Risk TOmography, a name which entails the philosophical approach followed in exploring the economic and financial system after the dramatic events of the global financial crisis arose in 2007 and the European crisis erupted in 2010. We conceived...";;FP7-SSH;;;;en;en;"2016-09-15 16:25:04";https://cordis.europa.eu/project/id/320270/reporting
pubsum;55450;;"Final Report Summary - LIFEWATCH (Life watch)";211372_PS;"Executive summary: 

 The LIFEWATCH e-science and observatory infrastructure for biodiversity and ecosystem research will contribute to understanding the complex biodiversity system. The research infrastructure provides advanced capabilities for scientists to tackle the big qu...";;FP7-INFRASTRUCTURES;;;;en;en;"2013-01-18 00:02:53";https://cordis.europa.eu/project/id/211372/reporting
pubsum;54566;;"Final Report - HELENA (Higher education leading to engineering and scientific careers)";230376_PS;"Executive summary:

The present final report forms part of the overall effort to explore the influence of the perception of science on higher education study choice across European countries.

Women's participation in engineering occupations appears to be a key-issue for Europ...";;FP7-SIS;;;;en;en;"2013-01-18 00:02:53";https://cordis.europa.eu/project/id/230376/reporting
project;210522;CLARA;"Climate forecast enabled knowledge services";730482;"Climate variability and change (CVC) embody sizeable economic, social and environmental risks in Europe and globally . Climate services (CSs) (Brasseur and Gallardo, 2016; Brooks, 2013; Lourenco et al., 2015) are essential for catalysing economic and societal transformations...";;H2020-EU.3.5.,H2020-EU.3.5.1.;"/natural sciences/earth and related environmental sciences/hydrology;/engineering and technology/environmental engineering/air pollution engineering;/social sciences/sociology/governance/crisis management;/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic changes;/engineering and technology/environmental engineering/natural resources management/water management";2017-06-01;2020-09-30;en;en;"2022-08-24 17:44:31";https://cordis.europa.eu/project/id/730482
programme;700437;;"User-driven e-infrastructure innovation";H2020_EINFRA-22-2016;"Proposals will address only one of the points below. At least one proposal for each point will be selected:Exploitation of e-infrastructures for user-driven innovation and pilots responding to community specific challenges(1) Proposals are expected to support, through open...";;;;;;en;en;"2016-10-18 14:15:33";https://cordis.europa.eu/programme/id/H2020_EINFRA-22-2016
news;441910;;"Europe shifts to more densely populated cities";441910-europe-shifts-to-more-densely-populated-cities;"According to a new study, most of Europe’s cities are getting denser thanks to higher immigration rates and reduced land take for housing.";Society;;;;;en;de,en,es,fr,it,pl;"2022-07-27 14:52:02";https://cordis.europa.eu/article/id/441910-europe-shifts-to-more-densely-populated-cities
