Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
news;435873;;"Cultivating the fruits of shared innovation";435873-cultivating-the-fruits-of-shared-innovation;"Responsible research and innovation can significantly support collaboration between healthcare sectors and research and innovation policies. Through the EU-funded CHERRIES project, a consortium of partners across Europe supports the development and market-uptake of responsible healthcare innovations.";Society;;;;;en;bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv;"2022-03-29 15:49:46";https://cordis.europa.eu/article/id/435873-cultivating-the-fruits-of-shared-innovation
project;203269;LANDSENSE;"A Citizen Observatory and Innovation Marketplace for Land Use and Land Cover Monitoring";689812;"Currently within the EU’s Earth Observation (EO) monitoring framework, there is a need for low-cost methods for acquiring high quality in-situ data to create accurate and well-validated environmental monitoring products. The aim of the LandSense project is to build a far...";;H2020-EU.3.5.5.,H2020-EU.3.5.;"/social sciences/sociology/governance;/natural sciences/earth and related environmental sciences/soil sciences/land-based treatment;/social sciences/economics and business/business and management/business models;/social sciences/political sciences/political policies/civil society;/social sciences/economics and business/economics/sustainable economy";2016-09-01;2020-12-31;en;en;"2022-08-25 17:19:26";https://cordis.europa.eu/project/id/689812
resultsPack;413408;;"Digitalisation through the ICT4WATER cluster to boost innovation in the water sector";413408-digital-transition-in-water;"Water is key for society and for the economy. We need to address the pressing water challenges, adapt water resource management to mitigate the effects of climate change, combat resource pollution and depletion, manage demands for water, address the water–energy nexus, and prevent degradation of ecosystems. Digital solutions can play a vital role in addressing some of these challenges.";"Industrial Technologies,Society,Energy";;;;;en;de,en,es,fr,it,pl;"2020-02-12 16:34:16";https://cordis.europa.eu/article/id/413408-digital-transition-in-water
pubsum;197768;;"Final Report Summary - SWAN (Sustainable Water ActioN: building research links between EU and US)";294947_PS;"SWAN (Sustainable Water ActioN: Building Research Links between EU and US), is a four years (2912-2016) International Cooperation Project granted by the European Commission (FP7-INCOLAB-2011), which main goal is to reinforce links between EU and US research in the field for...";;FP7-INCO;;;;en;en;"2017-05-10 12:59:19";https://cordis.europa.eu/project/id/294947/reporting
project;219932;Smart4Health;"Citizen-centred EU-EHR exchange for personalised health";826117;"Smart4Health will enable the citizen-centred EU EHR exchange for personalised health. This will pave the way for the full deployment of citizen-centred solutions and services in a digital single market for wellbeing and healthcare. It will provide for interoperability...";;H2020-EU.3.1.,H2020-EU.3.1.5.1.;"/medical and health sciences/health sciences/health care services/eHealth";2019-01-01;2023-02-28;en;en;"2022-10-27 22:06:10";https://cordis.europa.eu/project/id/826117
pubsum;153896;;"Final Report Summary - EPOCH (Ethics in Public Policy Making: The Case of Human Enhancement)";266660_PS;"Executive Summary:The rationale behind the EPOCH project (http://epochproject.com) was that though EU policies often said to combine scientific insights with a normative framework, it is not clear what this normative framework looks like and from which sources it should be...";;FP7-SIS;;;;en;en;"2014-12-11 20:27:04";https://cordis.europa.eu/project/id/266660/reporting
project;203271;GROW;"GROW Observatory";690199;"The GROW Observatory (GROW) will create a sustainable citizen platform and community to generate, share and utilise information on land, soil and water resource at a resolution hitherto not previously considered. The vision is to underpin smart and sustainable custodianship of...";;H2020-EU.3.5.5.,H2020-EU.3.5.;"/natural sciences/earth and related environmental sciences/hydrology;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/smart sensors;/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/radio technology/bluetooth;/natural sciences/earth and related environmental sciences/soil sciences/land-based treatment;/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/mobile phones";2016-11-01;2019-10-31;en;en;"2022-05-26 09:28:57";https://cordis.europa.eu/project/id/690199
resultsPack;421641;;"Environmental Observations for informing citizens and supporting policymaking through innovative applications";421641-environmental-observations-informing-citizens-and-supporting-policymaking-through-innov;"Observing the environment from space, from the ground and from mobile platforms provides a constant and consistent flow of information about the health of the planet, the changing climate and the human activities and their impacts. By supporting the GEO initiative and the Copernicus programme, and by funding related research activities in Horizon 2020, the EU is actively contributing to worldwide efforts to build a global observation network. This CORDIS Results Pack showcases the results of several Horizon 2020-funded projects, which have been building on these assets to develop commercial applications, create benefits for our citizens and support better policymaking.";"Digital Economy,Climate Change and Environment,Space";;;;;en;de,en,es,fr,it,pl;"2020-08-21 08:12:09";https://cordis.europa.eu/article/id/421641-environmental-observations-informing-citizens-and-supporting-policymaking-through-innov
pubsum;386506;;"Final Report Summary - PROHEALTH (Sustainable intensive pig and poultry production)";613574_PS;"Overall the PROHEALTH project was a huge success and achieved all its goals and objectives. Over the duration of 5 years a significant amount of outcomes has been achieved by the 22 project partners. More specifically, the following work was performed in the different work...";;FP7-KBBE;;;;en;en;"2019-07-02 18:54:11";https://cordis.europa.eu/project/id/613574/reporting
pubsum;143625;;"Final Report Summary - INCONTEXT (InContext: Individuals in Context: Supportive Environments for Sustainable Living)";265191_PS;"The three-year research project ‘InContext - Individuals in Context: Supportive Environments for Sustainable Living’ identified framework conditions enabling societal transitions towards an ecologically sound, economically successful and culturally...";;FP7-ENVIRONMENT;;;;en;en;"2014-07-11 15:06:48";https://cordis.europa.eu/project/id/265191/reporting
pubsum;196533;;"Final Report Summary - CIT-PART (Impact of Citizen Participation on Decision-Making in a Knowledge Intensive Policy Field)";225327_PS;"CIT-PART comparatively studied the use and impact of participatory technology assessment (PTA) and expert based technology assessment (TA) in science and technology policy in several EU Member States and organizations such as Austria (AT), Denmark (DK), Great Britain (GB)...";;FP7-SSH;;;;en;en;"2017-03-28 09:29:09";https://cordis.europa.eu/project/id/225327/reporting
pubsum;141620;;"Final Report Summary - SSH HORIZONS (Horizons for Social Sciences and Humanities, Lithuanian EU Presidency’s Conference)";341380_PS;"Executive Summary:During Lithuanian Presidency to the EU Council Mykolas Romeris University in partnership with the European Commission, European Research Council, Research Council of Lithuania and Ministry of Education and Science organised a conference Horizons for Social...";;FP7-SSH;;;;en;en;"2014-05-30 10:43:29";https://cordis.europa.eu/project/id/341380/reporting
pubsum;56080;;"Final Report Summary - EFORTT (Ethical frameworks for telecare technologies for older people at home)";217787_PS;"Executive summary:
the development of telecare systems for older people has largely occurred in industry or service contexts, while their social, ethical and democratic implications have received little or no attention. The EFORTT project examined the ethical, social and gende...";;FP7-SIS;;;;en;en;"2013-01-18 00:02:53";https://cordis.europa.eu/project/id/217787/reporting
pubsum;185124;;"Final Report Summary - DISCIT (Making Persons with Disabilities Full Citizens - New Knowledge for an Inclusive and Sustainable European Social Model)";320079_PS;"The FP7 project DISCIT provides new knowledge about the diversity in disability policy in European countries and emerging possibilities for policy learning and innovation across Europe. This knowledge shows what steps policymakers and stakeholders need to take to enable...";;FP7-SSH;;;;en;en;"2016-06-23 12:55:02";https://cordis.europa.eu/project/id/320079/reporting
pubsum;196141;;"Final Report Summary - TECHNOLIFE (a Transdisciplinary approach to the Emerging CHallenges of NOvel technologies: Lifeworld and Imaginaries in Foresight and Ethics)";230381_PS;"TECHNOLIFE has developed a method to map ethical issues at early stages of S&T and policy development and to represent social imaginaries relating to these ethical issues. This method is a theoretically grounded and balanced suite of exploratory, qualitative and quantitative...";;FP7-SIS;;;;en;en;"2017-03-22 14:29:30";https://cordis.europa.eu/project/id/230381/reporting
project;202639;iSCAPE;"Improving the Smart Control of Air Pollution in Europe";689954;"The iSCAPE project aims to integrate and advance the control of air quality and carbon emissions in European cities in the context of climate change through the development of sustainable and passive air pollution remediation strategies, policy interventions and behavioural...";;H2020-EU.3.5.,H2020-EU.3.5.1.;"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/control systems;/engineering and technology/environmental engineering/air pollution engineering;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/natural sciences/earth and related environmental sciences/environmental sciences/pollution;/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/mobile phones";2016-09-01;2019-11-30;en;en;"2022-08-18 09:32:23";https://cordis.europa.eu/project/id/689954
mag;400747;;"Cleaning up space junk";400747-cleaning-up-space-junk;;;;;;;en;de,en,es,fr,it,pl;"2014-05-01 00:00:01";https://cordis.europa.eu/article/id/400747-cleaning-up-space-junk
project;207269;FORCE;"Cities Cooperating for Circular Economy";689157;"The overall objective is to minimise the leakage of materials from the linear economy and work towards a circular economy. Specific objectives are to: • Engage cities, enterprises, citizens and academia in 16 participatory value chain based partnerships to create and develop...";;H2020-EU.3.5.,H2020-EU.3.5.4.;"/engineering and technology/environmental engineering/waste management/waste treatment processes/recycling;/natural sciences/computer and information sciences/data science/big data;/engineering and technology/environmental biotechnology/bioremediation/compost;/social sciences/economics and business/economics/sustainable economy;/agricultural sciences/agriculture, forestry, and fisheries/forestry";2016-09-01;2021-02-28;en;en;"2022-08-23 22:16:26";https://cordis.europa.eu/project/id/689157
pubsum;196161;;"Final Report Summary - ECONWELFARE (Good animal welfare in a socio-economic context: Project to promote insight on the impact for the animal, the production chain and society of upgrading animal welfare standards.)";213095_PS;"In August 2008 the EconWelfare project (FP7 Grant KBBE-1-213095) was initiated with the main objective: to reveal what policy instruments might be effective in the route towards higher animal welfare representing the concerns of civil society and in which competitiveness of...";;FP7-KBBE;;;;en;en;"2017-03-23 17:59:22";https://cordis.europa.eu/project/id/213095/reporting
programme;703803;;"Prototyping a European interoperable Electronic Health Record (EHR) exchange";H2020_SC1-DTH-08-2018;"The focus is on developing and testing an extensible, secure and interoperable platform in compliance with the General Data Protection Regulation[[Regulation (EU) 2016/679 of the European Parliament and of the Council of 27 April 2016 on the protection of natural persons with...";;;;;;en;en;"2018-11-07 20:30:59";https://cordis.europa.eu/programme/id/H2020_SC1-DTH-08-2018
pubsum;797914;;"Periodic Reporting for period 1 - CoAct (Co-designing Citizen Social Science for Collective Action)";873048_PS;"CoAct (Co-designing Citizen Social Science for Collective Action) is addressing complex social problems, from the perspective of affected citizens.  In Barcelona (Spain), CoAct is specifically targeting MENTAL HEALTH social support networks, refering to people's social...";;H2020-EU.5.c.;;;;en;en;"2022-02-21 17:00:05";https://cordis.europa.eu/project/id/873048/reporting
pubsum;194661;;"Final Report Summary - REPOPA (REsearch into POlicy to enhance Physical Activity)";281532_PS;"The EC funded REPOPA project found practical ways to support policymakers in their use of research evidence in developing physical activity policies. Simulation policy game, locally tailored policymaking interventions, indicators to assess policies’ evidence-base as well as...";;FP7-HEALTH;;;;en;en;"2017-02-09 12:57:32";https://cordis.europa.eu/project/id/281532/reporting
pubsum;189793;;"Final Report Summary - GRAFFOLUTION (Awareness and Prevention Solutions against Graffiti Vandalism in Public Areas and Transport)";608152_PS;"The research conducted in the first and second project period has provided fruitful insights on graffiti ranging from anti-social accounts of graffiti to pro-social effects of graffiti and street art. Within the Graffolution project both perspectives were taken into account...";;FP7-SECURITY;;;;en;en;"2016-10-06 17:24:35";https://cordis.europa.eu/project/id/608152/reporting
brief;435880;;"Measuring the impact of citizen science";435880-measuring-the-impact-of-citizen-science;"A new platform aims to help citizen science projects better understand the impact their work is having.";Society;H2020-EU.5.c.;;;;en;bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv;"2022-03-29 15:50:15";https://cordis.europa.eu/article/id/435880-measuring-the-impact-of-citizen-science
pubsum;201572;;"Final Report Summary - LIVEWHAT (Living with Hard Times: How European Citizens Deal with Economic Crises and Their Social and Political Consequences)";613237_PS;"The economic crisis that hit Europe in 2008 is without precedent in postwar economic history. The ongoing recession has left deep and long-lasting traces on economic performance and entails social hardship of many kinds. Those hardest hit are those most likely to exit the...";;FP7-SSH;;;;en;en;"2017-07-25 17:48:10";https://cordis.europa.eu/project/id/613237/reporting
