Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
story;92438;;"ERC Story - Can 'public' mean different things in different countries?";92438-erc-story-can-public-mean-different-things-in-different-countries;"During the 20th century, the experiences of post-communist states in Central and Eastern Europe were very different from those of much of Western Europe. Have these different experiences fostered different attitudes when it comes to public space, and 'public goods' like health care, education or the environment? Dr Natalia Letki of the University of Warsaw in Poland is using an ERC Starting Grant to carry out an ambitious multi-disciplinary study of attitudes and behaviour regarding 'public goods’ across this region – drawing on political science, sociology, economics and even psychology.";;FP7-IDEAS-ERC;;;;en;de,en,es,fr,it,pl;"2014-02-14 12:58:46";https://cordis.europa.eu/article/id/92438-erc-story-can-public-mean-different-things-in-different-countries
pubsum;168068;;"Final Report Summary - LEIT2014 (LEADERSHIP IN ENABLING AND INDUSTRIAL TECHNOLOGIES
for EUROPEAN SOCIETAL CHALLENGES 2014
(Nanotechnologies and Advanced Materials, Manufacturing and Processing))";608892_PS;"Executive Summary:LET’S 2014 (Leading Enabling Technologies for Societal challenges) is the International Conference organised in the context of the Italian Presidency of the Council of the European Union, supported by the European Union Funding for Research and Innovation...";;FP7-NMP;;;;en;en;"2015-07-28 10:47:10";https://cordis.europa.eu/project/id/608892/reporting
pubsum;165382;;"Final Report Summary - KIICS (KiiCS - Knowledge Incubation in Innovation and Creation for Science)";288959_PS;"Executive Summary:KiiCS (Knowledge Incubation in Innovation and Creation for Science) was a three-year project, coordinated by Ecsite, the European Network of Science Centres and Museums, that attempted to dissolve the lines between creativity, science, technology and business...";;FP7-SIS;;;;en;en;"2015-06-23 15:26:31";https://cordis.europa.eu/project/id/288959/reporting
project;230064;B2-InF;"Be Better Informed About Fertility. Giving voice to citizens towards improving assisted reproduction technologies for society";872706;"Assisted Reproduction Technology (ART) plays a significant role in the reproductive health of European society and is a fast growing part of the health industry. In this context, B2-InF will seek to answer two questions: (1) How do young people perceive and think about ART...";;H2020-EU.5.g.,H2020-EU.5.d.,H2020-EU.5.h.,H2020-EU.5.a.,H2020-EU.5.f.,H2020-EU.5.c.,H2020-EU.5.b.,H2020-EU.5.e.;"/social sciences/sociology/demography/fertility";2020-11-01;2023-10-31;en;en;"2022-10-28 14:16:58";https://cordis.europa.eu/project/id/872706
project;239162;SCIENCE4FUTURE-II;"SCIENCE BUILDING THE FUTURE";101061755;"Science plays a major role in the development of a society. Despite this, the general population of Romania has little knowledge about the impact of research on all aspects of life. In this context, events that advertise science among the general public are very welcome...";;HORIZON.1.2;"/social sciences/political sciences/political policies/civil society/nongovernmental organizations";2022-04-01;2024-01-31;en;en;"2022-08-05 19:14:24";https://cordis.europa.eu/project/id/101061755
project;216096;EOSC-hub;"Integrating and managing services for the European Open Science Cloud";777536;"The EOSC-hub project creates the integration and management system of the future European Open Science Cloud that delivers a catalogue of services, software and data from the EGI Federation, EUDAT CDI, INDIGO-DataCloud and major research e-infrastructures. This integration and...";;H2020-EU.1.4.1.3.,H2020-EU.1.4.;"/natural sciences/computer and information sciences/software;/social sciences/economics and business/business and management/innovation management;/social sciences/economics and business/business and management/business models;/natural sciences/biological sciences/ecology/ecosystems";2018-01-01;2021-03-31;en;en;"2022-08-25 18:51:21";https://cordis.europa.eu/project/id/777536
pubsum;189217;;"Final Report Summary - EUFORINNO (European Forest Research and Innovation)";315982_PS;"European forests are critical to carbon storage, biodiversity conservation, water quality, socio-demographic stability and economic revenue. EUFORINNO has been a mean for the Slovenian Forestry Institute (SFI) as the only forest research institute of national importance in...";;FP7-REGPOT;;;;en;en;"2016-09-15 16:41:47";https://cordis.europa.eu/project/id/315982/reporting
pubsum;189791;;"Final Report Summary - FUTUREVOLC (A European volcanological supersite in Iceland: a monitoring system and network for the future)";308377_PS;"FUTUREVOLC's objectives were to establish an innovative volcano monitoring system and strategy, develop new methods for monitoring volcano behaviour, improve scientific understanding of volcanic processes, and improve information flow on volcanic hazards, unrest and eruptions...";;FP7-ENVIRONMENT;;;;en;en;"2016-10-06 17:24:00";https://cordis.europa.eu/project/id/308377/reporting
project;193879;BRODISE;"BROWNFIELD Decontamination In Southern Europe. Preparing PCP to R+D for efficient, cost effective and innovative solutions for brownfields decontamination";642045;"Public procurement represents +/-19% of the EU’s GDP. Historically a small and slower uptake of innovations has been witnessed along with the fragmentation of publ demand.. PE represents a fundamental driver of innovation and competitiveness.Urban regeneration conducted by...";;H2020-EU.3.5.,H2020-EU.3.5.2.;"/engineering and technology/environmental biotechnology/bioremediation;/natural sciences/chemical sciences/electrochemistry/electrolysis;/natural sciences/chemical sciences/organic chemistry/hydrocarbons";2015-02-01;2016-09-30;en;en;"2022-08-11 12:21:46";https://cordis.europa.eu/project/id/642045
project;213102;SerIoT;"Secure and Safe Internet of Things";780139;"The IoT is coming upon us faster than we think, catapulting EU industry, homes and society into the huge arena of security risks that accompany an untested yet already universal technology that directly manages our cyber-physical reality on a daily, and indeed second by...";;H2020-EU.2.1.1.;"/natural sciences/computer and information sciences/internet/internet of things;/natural sciences/computer and information sciences/software";2018-01-01;2021-04-30;en;en;"2022-08-24 14:16:19";https://cordis.europa.eu/project/id/780139
