Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
deliverable;330134;;"Pilots Planning documentation";688995_1_DELIV;;;;;;;en;en;"2019-05-31 10:06:45";https://cordis.europa.eu/result/rcn/330134/en
deliverable;330138;;"Sustainability Assessment Models";688995_29_DELIV;;;;;;;en;en;"2019-05-31 10:06:50";https://cordis.europa.eu/result/rcn/330138/en
deliverable;330146;;"Deployment & Integration Report";688995_31_DELIV;;;;;;;en;en;"2019-05-31 10:06:58";https://cordis.europa.eu/result/rcn/330146/en
deliverable;330148;;"Preparatory Actions Report";688995_30_DELIV;;;;;;;en;en;"2019-05-31 10:06:58";https://cordis.europa.eu/result/rcn/330148/en
pubsum;227029;;"Final Report Summary - CFMATTERS (Cystic Fibrosis Microbiome-determined Antibiotic Therapy Trial in Exacerbations: Results Stratified.)";603038_PS;"CFMATTERS offers a stratified next generation approach to antibacterial treatment in a disease model of chronic bacterial infection with super-imposed acute exacerbations. It is the first randomized, controlled trial comparing the use of microbiome-directed antibiotic...";;FP7-HEALTH;;;;en;en;"2018-05-02 10:37:15";https://cordis.europa.eu/project/id/603038/reporting
pubsum;223944;;"Periodic Reporting for period 3 - CYBERLEGs Plus Plus (The CYBERnetic LowEr-Limb CoGnitive Ortho-prosthesis Plus Plus)";731931_PS;"Lower-limb loss is a disabling condition affecting health and quality of life, particularly in older persons. Universal to all developed countries the main factors influencing the number of lower-limb amputations are the high prevalence of atherosclerosis and dysvascular...";;H2020-EU.2.1.1.;;;;en;en;"2021-10-08 21:58:14";https://cordis.europa.eu/project/id/731931/reporting
pubsum;57676;;"Final Report Summary - AQUAFIT4USE (Water in industry, fit-for-use sustainable water use in chemical, paper, textile and food industry)";211534_PS;"Executive summary:

AQUAFIT4USE has brought innovative solutions to increase the sustainable use of water in industry in four important water intensive sectors: chemical, paper, textile and food.

By the development and piloting at industrial level of new, reliable cost-effect...";;FP7-ENVIRONMENT;;;;en;en;"2013-08-14 00:02:53";https://cordis.europa.eu/project/id/211534/reporting
project;199404;SILGEN;"Sustainable farming of European catfish (Silurus glanis) for innovative, resource efficient and eco-friendly pond farm production";711124;"Today over 70% of world fish stocks are fully exploited or are already overfished. It is a trend since 1990s that capture fisheries production is stagnating, while aquaculture production is expanding. A European citizen consumes 17.56 kg seafood and freshwater products of...";;H2020-EU.2.3.1.,H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/fisheries;/agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture;/natural sciences/chemical sciences/inorganic chemistry/transition metals;/natural sciences/biological sciences/freshwater biology;/social sciences/political sciences/government systems";2016-02-01;2016-05-31;en;en;"2022-08-11 11:22:59";https://cordis.europa.eu/project/id/711124
project;241235;BIOcean5D;"MARINE BIODIVERSITY ASSESSMENT AND PREDICTION ACROSS SPATIAL, TEMPORAL AND HUMAN SCALES";101059915;"Marine biodiversity sustains ecosystem services for planetary and human health. Recent surveys of marine ecosystems have unveiled our ignorance of the richness and functioning of marine life, which is changing in the Anthropocene at a faster pace than terrestrial...";;HORIZON.2.6.4,HORIZON.2.6;"/natural sciences/biological sciences/marine biology;/social sciences/economics and business/economics/econometrics;/natural sciences/biological sciences/microbiology/virology;/natural sciences/biological sciences/cell biology;/natural sciences/biological sciences/ecology/ecosystems;/social sciences/political sciences/political policies/civil society;/natural sciences/biological sciences/zoology/mammalogy;/natural sciences/biological sciences/genetics/genomes";2022-12-01;2026-11-30;en;en;"2022-09-12 15:49:02";https://cordis.europa.eu/project/id/101059915
programme;707572;;"International benchmarking of rural and territorial policies and delivery mechanisms";HORIZON_HORIZON-CL6-2023-COMMUNITIES-01-3;"The study and implementation of rural policies is unequally advanced across the world. The project funded under this topic should contribute to increase policymakers’ understanding of rural challenges and strengthen their capacities to implement adequate policy responses to...";;;;;;en;en;"2022-11-09 18:12:28";https://cordis.europa.eu/programme/id/HORIZON_HORIZON-CL6-2023-COMMUNITIES-01-3
