Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
programme;705468;;"Behavioural, social and cultural change for the Green Deal";H2020_LC-GD-10-2-2020;"Actions should address behavioural change at individual and collective levels, including public and private organisations, as well as broader changes in social practices related to the European Green Deal. Actions should establish transnational and transdisciplinary networks...";;;;;;en;en;"2021-03-01 17:07:47";https://cordis.europa.eu/programme/id/H2020_LC-GD-10-2-2020
brief;422167;;"Deep-sea mining system for polymetallic nodules in the oceanic abyss";422167-sustainable-deep-sea-mining-system-for-polymetallic-nodules-in-the-oceanic-abyss;"The deep seabed is a vast resource of raw materials, including critical raw materials (CRMs). Crucial for Europe’s current industries and innovative technologies, CRMs are indispensable for the development of key technologies for the energy transition such as batteries, wind turbines and solar energy.";"Climate Change and Environment,Industrial Technologies,Energy";H2020-EU.3.5.,H2020-EU.3.5.3.;;;;en;de,en,es,fr,it,pl;"2020-09-18 16:13:02";https://cordis.europa.eu/article/id/422167-sustainable-deep-sea-mining-system-for-polymetallic-nodules-in-the-oceanic-abyss
news;26531;;"Communication and risk assessment: keys to unleashing nano-potential";26531-communication-and-risk-assessment-keys-to-unleashing-nanopotential;"'Science and politics do not always dance together easily,' said Dutch MEP Dorette Corbey, speaking on the first day of the European Forum on Nanosciences in Brussels on 19 October. 

When the science in question has evoked some controversy, politicians and scientists can be...";;;;;;en;de,en,es,fr,it,pl;"2006-10-20 00:00:02";https://cordis.europa.eu/article/id/26531-communication-and-risk-assessment-keys-to-unleashing-nanopotential
pubsum;418644;;"Periodic Reporting for period 2 - AMBER (AMBER - enhAnced Mobile BiomEtRics)";675087_PS;"The growth of smart phones and tablet devices in roaming environments has increased the need to accurately identify the user. Biometric solutions (using a person’s finger, face, iris, voice, and signature to access and use a device) have also seen an increase in prominence...";;H2020-EU.1.3.,H2020-EU.1.3.1.;;;;en;en;"2021-07-17 02:04:26";https://cordis.europa.eu/project/id/675087/reporting
pubsum;244029;;"Final Report Summary - INAPRO (Innovative model and demonstration based water management for resource efficiency in integrated multitrophic agriculture and aquaculture systems)";619137_PS;"INAPRO provides an approach for resource efficient water, energy and nutrient management in innovative aquaponic systems for professional application to contribute remarkably to global food security in the 21st century. The project objective was to mobilise industry, member...";;FP7-ENVIRONMENT;;;;en;en;"2018-12-11 18:08:28";https://cordis.europa.eu/project/id/619137/reporting
pubsum;198139;;"Periodic Reporting for period 2 - SHEER (SHale gas Exploration and Exploitation induced Risks)";640896_PS;"Shale gas operations may have significant environmental impacts. The experience gained in the last tens of years, mostly in U.S. where tens of shale gas extraction sites have been implemented, indicates that the associated environmental impacts can be occasionally significant...";;H2020-EU.3.3.,H2020-EU.3.3.2.3.;;;;en;en;"2017-05-17 11:25:08";https://cordis.europa.eu/project/id/640896/reporting
pubsum;193058;;"Periodic Reporting for period 1 - HU-MOLMEDEX (Creating the Hungarian Centre of Excellence for Molecular Medicine)";664410_PS;"The starting point of this project was the realization that there is a gap between the output of Hungarian molecular medicine and that of leading European countries, presenting a need for improvements that would positively impact biomedical research in Hungary. This reason of...";;H2020-EU.4.a.;;;;en;en;"2021-04-01 16:33:55";https://cordis.europa.eu/project/id/664410/reporting
project;223244;DWC;"DIGITAL-WATER.city - Leading urban water management to its digital future";820954;"digital-water.city’s (DWC) main goal is to boost the integrated management of waters systems in five major European urban and peri-urban areas, Berlin, Milan, Copenhagen, Paris and Sofia, by leveraging the potential of data and smart digital technologies. DWC will create...";;H2020-EU.3.5.,H2020-EU.3.5.4.,H2020-EU.3.5.2.2.;"/engineering and technology/environmental engineering/water treatment processes/wastewater treatment processes;/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors;/engineering and technology/environmental engineering/natural resources management/water management;/natural sciences/computer and information sciences/software/software applications/simulation software;/engineering and technology/civil engineering/structural engineering/hydraulic engineering";2019-06-01;2022-11-30;en;en;"2022-09-15 12:13:14";https://cordis.europa.eu/project/id/820954
project;203275;UrBAN-WASTE;"Urban strategies for Waste Management in Tourist Cities";690452;"Europe’s cities are some of the world’s greatest tourism destinations. The socio-economic impact of tourism is extraordinary and urban tourism, but it brings at the same time a range of negative externalities, including high levels of unsustainable resource consumption and...";;H2020-EU.3.5.,H2020-EU.3.5.4.;"/natural sciences/computer and information sciences/databases;/engineering and technology/environmental engineering/waste management;/natural sciences/earth and related environmental sciences/physical geography/cartography;/social sciences/economics and business/economics/microeconomics;/social sciences/political sciences/political policies/civil society";2016-06-01;2019-05-31;en;en;"2022-08-16 23:01:55";https://cordis.europa.eu/project/id/690452
project;221475;EUCAN-Connect;"A federated FAIR platform enabling large-scale analysis of high-value cohort data connecting Europe and Canada in personalized health";824989;"Rapid progress in information and biotechnologies offers the promise of better, personalized health strategies using rich phenotypic, environmental and molecular (omics) profiles of every individual. To capitalize on this great promise, key challenge is to relate these...";;H2020-EU.3.1.,H2020-EU.3.1.5.;"/natural sciences/computer and information sciences/data science;/social sciences/sociology/governance;/natural sciences/computer and information sciences/computer security/data protection";2019-01-01;2023-12-31;en;en;"2023-01-07 15:17:10";https://cordis.europa.eu/project/id/824989
