Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
brief;442348;;"Sizing up culture and measuring its societal impact";442348-sizing-up-culture-and-measuring-its-societal-impact;"The EU-funded MESOC project is developing tools to quantitatively measure the impact of culture and cultural policies and practices, based on the Theory of Change.";Society;H2020-EU.3.6.,H2020-EU.3.6.3.2.;;;;en;de,en,es,fr,it,pl;"2022-10-20 18:12:02";https://cordis.europa.eu/article/id/442348-sizing-up-culture-and-measuring-its-societal-impact
news;24075;;"NanoDialogue project to engage the public in a debate on nanotechnologies and nanosciences";24075-nanodialogue-project-to-engage-the-public-in-a-debate-on-nanotechnologies-and-nanosciences;"The development of nanotechnologies and nanosciences (N&N) is still at an early stage, though the market for nanotechnology-based products is expected to rise to hundreds of billions of euro by 2010. To foster public debate on the developments of research in this field, the Na...";;;;;;en;de,en,es,fr,it,pl;"2005-06-30 00:00:02";https://cordis.europa.eu/article/id/24075-nanodialogue-project-to-engage-the-public-in-a-debate-on-nanotechnologies-and-nanosciences
brief;407039;;"Decision-support platform and innovative early warning products to better manage weather emergencies";407039-decision-support-platform-and-innovative-early-warning;"Major progress and advances in understanding, monitoring and predicting weather-related disasters have been made. However, there’s still much room for improvement in the development of tools, processes and best practices to effectively cope with such emergencies.";"Transport and Mobility,Society,Security";H2020-EU.3.7.;;;;en;de,en,es,fr,it,pl;"2019-10-04 14:09:41";https://cordis.europa.eu/article/id/407039-decision-support-platform-and-innovative-early-warning
pubsum;648635;;"Periodic Reporting for period 1 - RE-HOUSING (The Refugees’ Right To Housing: State Policies and Housing Commons in Istanbul, Athens and Belgrade)";795992_PS;"RE-HOUSING examined forms and modes of refugee led solidarity housing commons, and compared and contrasted these with State-run refugee camps in Istanbul, Athens and Belgrade.   These cities are at the epicenter of the current refugee crisis. Since, March 2016, when the...";;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;en;"2020-12-10 04:01:08";https://cordis.europa.eu/project/id/795992/reporting
pubsum;183852;;"Final Report Summary - HEROMAT (PROTECTION OF CULTURAL HERITAGE OBJECTS WITH MULTIFUNCTIONAL ADVANCED MATERIALS)";282992_PS;"The multidisciplinary research project HEROMAT was focused on the development of innovative environmental friendly materials with value added functions aimed to the protection of immovable cultural heritage assets. The project cross-linked a Pan-European team...";;FP7-NMP;;;;en;en;"2016-06-03 12:42:52";https://cordis.europa.eu/project/id/282992/reporting
pubsum;157266;;"Final Report Summary - SIAM (Security Impact Assessment Measure - A decision support system for security technology investments)";261826_PS;"Executive Summary:Today security is managed by an increasing range of diverse technological systems and measures. Giving the variety of nature, contexts and actors in which these technologies are deployed, an adequate assessment methodology requires a whole range of questions...";;FP7-SECURITY;;;;en;en;"2015-04-17 12:58:50";https://cordis.europa.eu/project/id/261826/reporting
pubsum;182464;;"Final Report Summary - REFORM (REstoring rivers FOR effective catchment Management)";282656_PS;"The assessment of the 1st River Basin Management Plans indicated that 40% of European rivers are affected by hydromorphological (HYMO) pressures caused predominantly by hydropower, navigation, agriculture, flood protection and urban development. Against this...";;FP7-ENVIRONMENT;;;;en;en;"2016-05-12 12:28:41";https://cordis.europa.eu/project/id/282656/reporting
project;200016;SIC;"Social Innovation Community";693883;"Developing an enabling environment for social innovation that links actions across the whole field and supports the full exploitation of their potential is vital to addressing societal challenges both in Europe and globally. While there is increasing interest for social...";;H2020-EU.3.6.;"/social sciences/sociology/governance;/social sciences/economics and business/business and management/innovation management;/social sciences/political sciences/political policies/civil society";2016-02-01;2019-01-31;en;en;"2022-08-15 12:28:06";https://cordis.europa.eu/project/id/693883
project;211236;LIS-Water;"Centre of Excellence (CoE) Lisbon International Centre for Water";763562;"LIS-Water is an initiative of the National Laboratory of Civil Engineering (LNEC) to create in Portugal an international CoE for frontier R&I on water services and related water resources with a high impact on public policies, management and regulation in Portugal, Europe and...";;H2020-EU.4.a.;"/social sciences/political sciences/political policies/public policies;/social sciences/sociology/governance;/natural sciences/earth and related environmental sciences/hydrology;/social sciences/economics and business/business and management/business models;/social sciences/economics and business/economics/sustainable economy";2017-09-01;2018-08-31;en;en;"2022-08-09 19:38:17";https://cordis.europa.eu/project/id/763562
news;96178;;"Chronic Disease Sufferers To Benefit From New At Home Diagnostic Device";96178-chronic-disease-sufferers-to-benefit-from-new-at-home-diagnostic-device;"People who suffer from chronic diseases, including high blood pressure, diabetes, asthma and heart problems should benefit from a new remote, home care monitoring system that could also bring an end to overcrowded waiting rooms.";;;;;;en;en;"2005-09-27 13:18:36";https://cordis.europa.eu/article/id/96178-chronic-disease-sufferers-to-benefit-from-new-at-home-diagnostic-device
